,endTime,artistName,trackName,msPlayed
40,2020-07-27 15:09,Kygo,This Town (feat. Sasha Sloan),202280
41,2020-07-27 15:13,ODESZA,Falls (feat. Sasha Sloan),232936
42,2020-07-27 15:17,Sasha Sloan,Runaway,218946
43,2020-07-27 15:20,Charlotte Lawrence,Psychopath - Recorded at Spotify Studios NYC,175203
44,2020-07-27 15:23,Sasha Sloan,Normal,192200
45,2020-07-27 15:27,Sasha Sloan,Again,194375
46,2020-07-27 15:29,Sasha Sloan,Faking It,167625
47,2020-07-27 15:33,Sasha Sloan,Ready Yet,218320
48,2020-07-27 15:36,Sasha Sloan,Thank God,202293
49,2020-07-27 15:39,Sasha Sloan,Version Of Me,159573
50,2020-07-27 15:46,SHY Martin,Same Old,175536
51,2020-07-27 15:50,SHY Martin,Good Together,205295
52,2020-07-27 15:53,SHY Martin,Lose You Too,186463
53,2020-07-27 15:56,NOTD,Keep You Mine,174760
54,2020-07-27 15:59,SHY Martin,Make Us Never Happen,171890
55,2020-07-27 16:24,SHY Martin,Bad in Common,179278
56,2020-07-27 16:26,SHY Martin,can I call you back?,153058
57,2020-07-27 16:29,SHY Martin,Forget to Forget,155351
58,2020-07-27 16:31,SHY Martin,Slow,163547
59,2020-07-27 16:35,Boy In Space,On A Prayer (feat. SHY Martin),153750
60,2020-07-27 16:37,SHY Martin,Nobody Likes Moving On,166646
61,2020-07-27 16:40,SHY Martin,Spaceship (Bonus Track),174628
62,2020-07-27 16:44,SHY Martin,Out of My Hands,203089
63,2020-07-27 16:56,Timeflies,Raincoat,113863
64,2020-07-29 13:59,ABIR,Young & Rude,74556
65,2020-07-29 14:00,Sigala,We Don't Care,27804
66,2020-07-29 14:01,Loote,are you sure?,59932
67,2020-07-29 14:04,Sasha Sloan,Ready Yet,218320
68,2020-07-29 14:05,JP Saxe,The Few Things (With Charlotte Lawrence),31869
69,2020-07-29 14:06,JP Cooper,Too Close,36530
70,2020-07-29 14:06,Jonas Blue,Perfect Strangers,28592
71,2020-07-30 07:41,nøll,voicemails,152115
72,2020-07-30 07:43,Olivia O'Brien,hate u love u,140344
73,2020-07-30 07:44,Brand New,Jude Law And A Semester Abroad,62807
74,2020-07-30 07:45,Osza,Limbo,43966
75,2020-07-30 07:45,Ghosts,Next Year,33906
76,2020-07-30 07:48,Halsey,Gasoline,166277
77,2020-07-30 07:49,EDEN,Wake Up,55638
78,2020-07-30 07:53,Alec Benjamin,Water Fountain,216588
79,2020-07-30 07:53,Adele,Hello,34732
80,2020-07-30 07:55,EDEN,End Credits,87003
81,2020-07-30 07:56,Halsey,New Americana,44759
82,2020-07-30 07:57,Halsey,Now Or Never,31996
83,2020-07-30 07:57,Brand New,Jude Law And A Semester Abroad,60482
84,2020-07-30 07:58,Pools,blue,39921
85,2020-07-30 07:58,The Chainsmokers,Paris,21270
86,2020-07-30 07:59,Alec Benjamin,Let Me Down Slowly,52425
87,2020-07-30 08:00,Jaymes Young,Happiest Year,68253
88,2020-07-30 08:31,Ashe,Moral of the Story,24216
89,2020-07-30 08:32,Faime,Rain,22144
90,2020-07-30 08:32,RUNN,Handle With Care,14433
91,2020-07-30 09:24,Tate McRae,stupid,18496
92,2020-07-30 09:24,Tate McRae,that way,35298
93,2020-07-30 09:27,Tate McRae,all my friends are fake,130244
94,2020-07-30 09:28,Dabin,Alive,91268
95,2020-07-30 09:30,Kayden,not my type,88994
96,2020-07-30 09:30,will hyde,meant to be.,50125
97,2020-07-30 09:34,Quinn XCII,Am I High Rn (feat. blackbear),199880
98,2020-07-30 09:35,blackbear,queen of broken hearts,9300
99,2020-07-30 09:35,Louis The Child,Free (with Drew Love),55876
100,2020-07-30 09:38,Bazzi,I Don't Think I'm Okay,148499
101,2020-07-31 19:12,ROLE MODEL,for the people in the back,22382
102,2020-07-31 19:12,NOTD,I Don't Know Why,7432
103,2020-07-31 19:12,Bazzi,I Don't Think I'm Okay,8165
104,2020-07-31 19:15,Marshmello,Be Kind (with Halsey),172761
105,2020-07-31 19:19,Halsey,You should be sad,205473
106,2020-07-31 19:23,Halsey,clementine,36451
107,2020-07-31 19:23,Halsey,Ashley,186187
108,2020-07-31 19:26,Halsey,Graveyard,117847
109,2020-07-31 19:26,Halsey,clementine,3036
110,2020-07-31 19:30,G-Eazy,Him & I (with Halsey),268866
111,2020-07-31 19:35,The Chainsmokers,Closer,244960
112,2020-07-31 19:40,Halsey,Colors,249499
113,2020-07-31 19:44,Halsey,Gasoline,199593
114,2020-07-31 19:47,YUNGBLUD,11 Minutes (with Halsey feat. Travis Barker),215659
115,2020-07-31 19:49,Halsey,Is There Somewhere,4244
116,2020-07-31 19:49,Halsey,Devil In Me,77825
117,2020-07-31 19:52,Halsey,Not Afraid Anymore,226786
118,2020-07-31 19:56,Halsey,Hold Me Down,204785
119,2020-07-31 20:00,Halsey,Haunting,260797
120,2020-07-31 20:06,Justin Bieber,The Feeling,244906
121,2020-07-31 20:12,Halsey,Trouble - Stripped,214719
122,2020-07-31 20:16,Halsey,Strange Love,247282
123,2020-07-31 20:19,Halsey,Lie,149106
124,2020-07-31 20:20,Halsey,Heaven In Hiding,60039
125,2020-07-31 20:22,Halsey,Haunting,89304
